Wed Jul 13 16:41:56 2022    output.dat

         3523631 function calls (3518926 primitive calls) in 25.466 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      472    0.001    0.000    0.003    0.000 C:\Users\Jules\AppData\Roaming\Python\Python38\site-packages\tcod\path.py:687(add_edge)
        1    0.001    0.001    0.019    0.019 C:\Users\Jules\PycharmProjects\Age_of_Aquarius\engine.py:42(save_as)
     3545    0.001    0.000    0.003    0.000 C:\Users\Jules\PycharmProjects\Age_of_Aquarius\actions.py:21(engine)
     1082    0.001    0.000    0.001    0.000 C:\Program Files\Python38\lib\enum.py:557(__new__)
       59    0.001    0.000    0.001    0.000 {built-in method tcod._libtcod.path_compute}
     2373    0.001    0.000    0.005    0.000 C:\Users\Jules\PycharmProjects\Age_of_Aquarius\render_functions.py:97(render_part)
      974    0.001    0.000    0.013    0.000 C:\Program Files\Python38\lib\textwrap.py:160(_split)
        1    0.001    0.001    0.001    0.001 {built-in method tcod._libtcod.TCOD_tileset_load}
      357    0.001    0.000    0.001    0.000 {built-in method numpy.array}
      944    0.001    0.000    0.002    0.000 C:\Users\Jules\AppData\Roaming\Python\Python38\site-packages\tcod\path.py:595(_as_hashable)
       13    0.001    0.000    0.008    0.001 C:\Users\Jules\PycharmProjects\Age_of_Aquarius\level_generator.py:203(place_entities)
      346    0.001    0.000    0.023    0.000 C:\Users\Jules\AppData\Roaming\Python\Python38\site-packages\tcod\event.py:952(dispatch)
     1737    0.001    0.000    0.001    0.000 C:\Users\Jules\PycharmProjects\Age_of_Aquarius\actions.py:17(__init__)
      270    0.001    0.000    0.001    0.000 {built-in method numpy.empty}
      974    0.001    0.000    0.001    0.000 C:\Program Files\Python38\lib\textwrap.py:179(<listcomp>)
      346    0.001    0.000    0.001    0.000 C:\Users\Jules\AppData\Roaming\Python\Python38\site-packages\tcod\event.py:234(__init__)
      339    0.001    0.000    0.007    0.000 C:\Users\Jules\PycharmProjects\Age_of_Aquarius\render_functions.py:67(render_names_at_mouse_location)
      346    0.001    0.000    0.001    0.000 C:\Users\Jules\AppData\Roaming\Python\Python38\site-packages\tcod\context.py:248(convert_event)
      237    0.001    0.000    0.011    0.000 C:\Users\Jules\PycharmProjects\Age_of_Aquarius\actions.py:196(perform)
      974    0.001    0.000    0.001    0.000 C:\Program Files\Python38\lib\textwrap.py:115(__init__)
      118    0.001    0.000    0.001    0.000 C:\Users\Jules\AppData\Roaming\Python\Python38\site-packages\numpy\lib\stride_tricks.py:339(_broadcast_to)
      974    0.001    0.000    0.037    0.000 C:\Program Files\Python38\lib\textwrap.py:342(wrap)
      686    0.001    0.000    0.001    0.000 {built-in method tcod._libtcod.SDL_PollEvent}
     1940    0.001    0.000    0.002    0.000 C:\Program Files\Python38\lib\random.py:200(randrange)
     1956    0.001    0.000    0.001    0.000 C:\Program Files\Python38\lib\random.py:250(_randbelow_with_getrandbits)
   197/71    0.001    0.000    0.007    0.000 C:\Program Files\Python38\lib\copy.py:225(_deepcopy_dict)
      974    0.001    0.000    0.003    0.000 C:\Program Files\Python38\lib\textwrap.py:146(_munge_whitespace)
      339    0.001    0.000    0.064    0.000 C:\Users\Jules\PycharmProjects\Age_of_Aquarius\input_handlers.py:135(handle_action)
      974    0.001    0.000    0.001    0.000 C:\Users\Jules\PycharmProjects\Age_of_Aquarius\message_log.py:15(full_text)
       59    0.001    0.000    0.001    0.000 {built-in method numpy.ascontiguousarray}
      527    0.001    0.000    0.001    0.000 C:\Users\Jules\PycharmProjects\Age_of_Aquarius\actions.py:55(__init__)
      862    0.001    0.000    0.001    0.000 {built-in method numpy.asarray}
     1655    0.001    0.000    0.001    0.000 {method 'join' of 'str' objects}
     8774    0.001    0.000    0.001    0.000 {method 'get' of 'dict' objects}
       14    0.001    0.000    0.003    0.000 C:\Users\Jules\PycharmProjects\Age_of_Aquarius\level_generator.py:120(createRoom)
     1675    0.001    0.000    0.004    0.000 C:\Users\Jules\PycharmProjects\Age_of_Aquarius\game_map.py:52(actors)
      715    0.001    0.000    0.001    0.000 C:\Users\Jules\AppData\Roaming\Python\Python38\site-packages\tcod\event.py:2264(__eq__)
     1074    0.001    0.000    0.001    0.000 {built-in method builtins.getattr}
     1726    0.001    0.000    0.003    0.000 C:\Users\Jules\PycharmProjects\Age_of_Aquarius\level_gen_tools.py:22(select_random_tile)
      974    0.001    0.000    0.016    0.000 C:\Program Files\Python38\lib\textwrap.py:336(_split_chunks)
     2380    0.001    0.000    0.001    0.000 C:\Users\Jules\PycharmProjects\Age_of_Aquarius\components\bodyparts.py:51(hp)
      177    0.001    0.000    0.001    0.000 C:\Users\Jules\AppData\Roaming\Python\Python38\site-packages\tcod\path.py:317(_export_dict)
   246/71    0.001    0.000    0.008    0.000 C:\Program Files\Python38\lib\copy.py:257(_reconstruct)
      344    0.001    0.000    0.001    0.000 C:\Users\Jules\AppData\Roaming\Python\Python38\site-packages\tcod\console.py:355(default_fg)
      209    0.001    0.000    0.001    0.000 C:\Program Files\Python38\lib\typing.py:865(__new__)
     1661    0.001    0.000    0.001    0.000 C:\Users\Jules\PycharmProjects\Age_of_Aquarius\entity.py:174(is_alive)
      339    0.001    0.000    0.001    0.000 {built-in method tcod._libtcod.TCOD_console_draw_rect_rgb}
  298/239    0.001    0.000    0.005    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
      649    0.001    0.000    0.001    0.000 C:\Users\Jules\AppData\Roaming\Python\Python38\site-packages\numpy\core\_internal.py:250(__init__)
     1878    0.001    0.000    0.001    0.000 {built-in method builtins.max}
     1940    0.001    0.000    0.003    0.000 C:\Program Files\Python38\lib\random.py:244(randint)
      339    0.001    0.000    0.052    0.000 C:\Users\Jules\PycharmProjects\Age_of_Aquarius\message_log.py:40(render)
      237    0.001    0.000    0.004    0.000 C:\Users\Jules\PycharmProjects\Age_of_Aquarius\actions.py:66(blocking_entity)
       59    0.001    0.000    0.001    0.000 C:\Users\Jules\AppData\Roaming\Python\Python38\site-packages\tcod\path.py:955(_compile_rules)
      713    0.000    0.000    0.000    0.000 {built-in method builtins.min}
       59    0.000    0.000    0.008    0.000 C:\Users\Jules\AppData\Roaming\Python\Python38\site-packages\tcod\path.py:1025(__init__)
      339    0.000    0.000    0.001    0.000 C:\Users\Jules\AppData\Roaming\Python\Python38\site-packages\tcod\console.py:1161(draw_rect)
      339    0.000    0.000    3.107    0.009 C:\Users\Jules\PycharmProjects\Age_of_Aquarius\input_handlers.py:159(on_render)
      270    0.000    0.000    0.000    0.000 {method 'from_buffer' of '_cffi_backend.FFI' objects}
      974    0.000    0.000    0.000    0.000 {method 'splitlines' of 'str' objects}
     1774    0.000    0.000    0.000    0.000 C:\Users\Jules\PycharmProjects\Age_of_Aquarius\scrolling_map.py:18(map_to_screen)
       59    0.000    0.000    0.005    0.000 C:\Users\Jules\AppData\Roaming\Python\Python38\site-packages\tcod\path.py:581(_world_array)
       59    0.000    0.000    0.004    0.000 C:\Users\Jules\AppData\Roaming\Python\Python38\site-packages\tcod\path.py:1273(path_from)
        1    0.000    0.000    0.000    0.000 {built-in method _pickle.dumps}
      541    0.000    0.000    0.000    0.000 C:\Users\Jules\PycharmProjects\Age_of_Aquarius\actions.py:61(dest_xy)
     5474    0.000    0.000    0.000    0.000 {built-in method builtins.id}
     2626    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
       59    0.000    0.000    0.008    0.000 C:\Users\Jules\AppData\Roaming\Python\Python38\site-packages\tcod\path.py:1082(__init__)
        4    0.000    0.000    0.000    0.000 {built-in method tcod._libtcod.TCOD_load_xp}
      118    0.000    0.000    0.000    0.000 C:\Users\Jules\AppData\Roaming\Python\Python38\site-packages\numpy\core\getlimits.py:647(__init__)
        1    0.000    0.000    0.000    0.000 {built-in method io.open}
     3740    0.000    0.000    0.000    0.000 C:\Users\Jules\PycharmProjects\Age_of_Aquarius\game_map.py:48(gamemap)
      474    0.000    0.000    0.000    0.000 C:\Users\Jules\AppData\Roaming\Python\Python38\site-packages\tcod\event.py:2271(__hash__)
      480    0.000    0.000    0.000    0.000 C:\Program Files\Python38\lib\copy.py:241(_keep_alive)
      974    0.000    0.000    0.000    0.000 {method 'expandtabs' of 'str' objects}
      118    0.000    0.000    0.001    0.000 C:\Users\Jules\AppData\Roaming\Python\Python38\site-packages\numpy\core\fromnumeric.py:38(_wrapit)
     2386    0.000    0.000    0.000    0.000 {built-in method builtins.abs}
       59    0.000    0.000    0.000    0.000 C:\Users\Jules\AppData\Roaming\Python\Python38\site-packages\numpy\lib\stride_tricks.py:415(_broadcast_shape)
      339    0.000    0.000    0.000    0.000 {method 'capitalize' of 'str' objects}
     3802    0.000    0.000    0.000    0.000 {method 'getrandbits' of '_random.Random' objects}
     3600    0.000    0.000    0.000    0.000 C:\Program Files\Python38\lib\copy.py:182(_deepcopy_atomic)
       59    0.000    0.000    0.002    0.000 C:\Users\Jules\AppData\Roaming\Python\Python38\site-packages\numpy\lib\stride_tricks.py:479(broadcast_arrays)
       59    0.000    0.000    0.000    0.000 {method 'nonzero' of 'numpy.ndarray' objects}
       59    0.000    0.000    0.003    0.000 C:\Users\Jules\AppData\Roaming\Python\Python38\site-packages\numpy\lib\function_base.py:4805(meshgrid)
      118    0.000    0.000    0.000    0.000 {built-in method numpy.arange}
        2    0.000    0.000    0.001    0.001 C:\Users\Jules\PycharmProjects\Age_of_Aquarius\setup_game.py:127(on_render)
        1    0.000    0.000    0.000    0.000 {built-in method builtins.print}
      977    0.000    0.000    0.000    0.000 {method 'reverse' of 'list' objects}
       59    0.000    0.000    0.003    0.000 C:\Users\Jules\AppData\Roaming\Python\Python38\site-packages\tcod\path.py:1215(resolve)
       59    0.000    0.000    0.001    0.000 C:\Users\Jules\AppData\Roaming\Python\Python38\site-packages\tcod\path.py:294(maxarray)
      164    0.000    0.000    0.000    0.000 {built-in method builtins.any}
       59    0.000    0.000    0.000    0.000 C:\Users\Jules\AppData\Roaming\Python\Python38\site-packages\tcod\path.py:664(__init__)
       58    0.000    0.000    0.000    0.000 C:\Program Files\Python38\lib\random.py:386(choices)
       59    0.000    0.000    0.002    0.000 C:\Users\Jules\AppData\Roaming\Python\Python38\site-packages\tcod\path.py:978(_resolve)
        3    0.000    0.000    0.000    0.000 {built-in method nt.stat}
      118    0.000    0.000    0.001    0.000 C:\Users\Jules\AppData\Roaming\Python\Python38\site-packages\numpy\core\fromnumeric.py:51(_wrapfunc)
      118    0.000    0.000    0.000    0.000 C:\Users\Jules\AppData\Roaming\Python\Python38\site-packages\tcod\path.py:1182(_update_heuristic)
       59    0.000    0.000    0.000    0.000 C:\Users\Jules\AppData\Roaming\Python\Python38\site-packages\tcod\path.py:1164(add_root)
      523    0.000    0.000    0.000    0.000 C:\Users\Jules\AppData\Roaming\Python\Python38\site-packages\tcod\_internal.py:59(_check)
       59    0.000    0.000    0.000    0.000 C:\Users\Jules\AppData\Roaming\Python\Python38\site-packages\numpy\lib\function_base.py:4936(<listcomp>)
       62    0.000    0.000    0.001    0.000 C:\Users\Jules\AppData\Roaming\Python\Python38\site-packages\numpy\core\numeric.py:289(full)
        7    0.000    0.000    0.001    0.000 C:\Users\Jules\PycharmProjects\Age_of_Aquarius\components\bodyparts.py:59(hp)
      260    0.000    0.000    0.000    0.000 C:\Users\Jules\PycharmProjects\Age_of_Aquarius\entity.py:50(move)
      649    0.000    0.000    0.000    0.000 C:\Users\Jules\AppData\Roaming\Python\Python38\site-packages\numpy\core\_internal.py:304(data)
      396    0.000    0.000    0.000    0.000 {built-in method __new__ of type object at 0x00007FFE4DA53810}
      919    0.000    0.000    0.000    0.000 C:\Users\Jules\PycharmProjects\Age_of_Aquarius\level_generator.py:316(<genexpr>)
      118    0.000    0.000    0.001    0.000 <__array_function__ internals>:177(transpose)
    79/78    0.000    0.000    0.002    0.000 C:\Program Files\Python38\lib\copy.py:208(_deepcopy_tuple)
     1689    0.000    0.000    0.000    0.000 {method 'random' of '_random.Random' objects}
      181    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
        7    0.000    0.000    0.001    0.000 C:\Users\Jules\PycharmProjects\Age_of_Aquarius\components\bodyparts.py:85(die)
     1956    0.000    0.000    0.000    0.000 {method 'bit_length' of 'int' objects}
      181    0.000    0.000    0.000    0.000 {method '__reduce_ex__' of 'object' objects}
      344    0.000    0.000    0.000    0.000 C:\Users\Jules\AppData\Roaming\Python\Python38\site-packages\tcod\console.py:344(default_bg)
     1193    0.000    0.000    0.000    0.000 C:\Users\Jules\PycharmProjects\Age_of_Aquarius\actions.py:39(perform)
       59    0.000    0.000    0.000    0.000 {built-in method tcod._libtcod.TCOD_frontier_push}
      349    0.000    0.000    0.000    0.000 {method 'upper' of 'str' objects}
       59    0.000    0.000    0.000    0.000 {built-in method tcod._libtcod.TCOD_frontier_new}
      492    0.000    0.000    0.000    0.000 C:\Program Files\Python38\lib\copy.py:262(<genexpr>)
      118    0.000    0.000    0.001    0.000 C:\Users\Jules\AppData\Roaming\Python\Python38\site-packages\tcod\path.py:330(_export)
      118    0.000    0.000    0.000    0.000 {built-in method tcod._libtcod.get_travel_path}
      120    0.000    0.000    0.000    0.000 {method 'reshape' of 'numpy.ndarray' objects}
      179    0.000    0.000    0.000    0.000 {method 'cast' of '_cffi_backend.FFI' objects}
       59    0.000    0.000    0.001    0.000 C:\Users\Jules\AppData\Roaming\Python\Python38\site-packages\numpy\lib\stride_tricks.py:545(<listcomp>)
       16    0.000    0.000    0.001    0.000 C:\Users\Jules\PycharmProjects\Age_of_Aquarius\actions.py:116(attack)
       59    0.000    0.000    0.003    0.000 <__array_function__ internals>:177(meshgrid)
      208    0.000    0.000    0.000    0.000 C:\Users\Jules\PycharmProjects\Age_of_Aquarius\input_handlers.py:119(__init__)
        3    0.000    0.000    0.000    0.000 C:\Users\Jules\AppData\Roaming\Python\Python38\site-packages\tcod\console.py:115(__init__)
      118    0.000    0.000    0.000    0.000 C:\Users\Jules\AppData\Roaming\Python\Python38\site-packages\numpy\core\getlimits.py:671(max)
      346    0.000    0.000    0.000    0.000 {method 'lower' of 'str' objects}
      181    0.000    0.000    0.000    0.000 C:\Program Files\Python38\lib\copyreg.py:90(__newobj__)
      118    0.000    0.000    0.001    0.000 C:\Users\Jules\AppData\Roaming\Python\Python38\site-packages\numpy\core\fromnumeric.py:601(transpose)
       62    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(copyto)
       15    0.000    0.000    0.001    0.000 C:\Users\Jules\PycharmProjects\Age_of_Aquarius\components\bodyparts.py:131(deal_damage)
     27/1    0.000    0.000    0.008    0.008 C:\Users\Jules\PycharmProjects\Age_of_Aquarius\level_generator.py:374(createRooms)
       16    0.000    0.000    0.000    0.000 C:\Users\Jules\PycharmProjects\Age_of_Aquarius\actions.py:82(__init__)
       59    0.000    0.000    0.000    0.000 {built-in method tcod._libtcod.update_frontier_heuristic}
       61    0.000    0.000    0.000    0.000 C:\Users\Jules\PycharmProjects\Age_of_Aquarius\entity.py:69(place)
       59    0.000    0.000    0.002    0.000 <__array_function__ internals>:177(broadcast_arrays)
    79/78    0.000    0.000    0.001    0.000 C:\Program Files\Python38\lib\copy.py:209(<listcomp>)
      118    0.000    0.000    0.000    0.000 {method 'transpose' of 'numpy.ndarray' objects}
      118    0.000    0.000    0.000    0.000 C:\Users\Jules\AppData\Roaming\Python\Python38\site-packages\numpy\lib\function_base.py:346(iterable)
       91    0.000    0.000    0.000    0.000 C:\Program Files\Python38\lib\copy.py:199(_deepcopy_list)
        1    0.000    0.000    0.016    0.016 C:\Users\Jules\PycharmProjects\Age_of_Aquarius\level_generator.py:72(generateLevel)
        2    0.000    0.000    0.000    0.000 {built-in method tcod._libtcod.TCOD_console_blit}
      177    0.000    0.000    0.000    0.000 C:\Users\Jules\AppData\Roaming\Python\Python38\site-packages\tcod\path.py:586(<genexpr>)
       59    0.000    0.000    0.004    0.000 C:\Users\Jules\AppData\Roaming\Python\Python38\site-packages\tcod\path.py:1325(path_to)
        2    0.000    0.000    0.000    0.000 {method 'reduce' of 'numpy.ufunc' objects}
      267    0.000    0.000    0.000    0.000 {built-in method builtins.hasattr}
      354    0.000    0.000    0.000    0.000 C:\Users\Jules\AppData\Roaming\Python\Python38\site-packages\numpy\lib\stride_tricks.py:344(<genexpr>)
       59    0.000    0.000    0.000    0.000 C:\Users\Jules\AppData\Roaming\Python\Python38\site-packages\tcod\path.py:1056(set_heuristic)
       59    0.000    0.000    0.000    0.000 C:\Users\Jules\PycharmProjects\Age_of_Aquarius\components\ai.py:47(<listcomp>)
       58    0.000    0.000    0.000    0.000 C:\Program Files\Python38\lib\random.py:408(<listcomp>)
       59    0.000    0.000    0.000    0.000 {method 'tolist' of 'numpy.ndarray' objects}
      118    0.000    0.000    0.000    0.000 C:\Users\Jules\AppData\Roaming\Python\Python38\site-packages\numpy\lib\stride_tricks.py:25(_maybe_view_as_subclass)
      177    0.000    0.000    0.000    0.000 C:\Users\Jules\AppData\Roaming\Python\Python38\site-packages\tcod\path.py:886(<genexpr>)
    94/26    0.000    0.000    0.000    0.000 C:\Users\Jules\PycharmProjects\Age_of_Aquarius\level_generator.py:395(getRoom)
        1    0.000    0.000    0.017    0.017 C:\Users\Jules\PycharmProjects\Age_of_Aquarius\setup_game.py:40(new_game)
       61    0.000    0.000    0.000    0.000 {method 'gc' of '_cffi_backend.FFI' objects}
       59    0.000    0.000    0.000    0.000 C:\Users\Jules\AppData\Roaming\Python\Python38\site-packages\numpy\lib\stride_tricks.py:537(<listcomp>)
       59    0.000    0.000    0.002    0.000 C:\Users\Jules\AppData\Roaming\Python\Python38\site-packages\tcod\path.py:1069(_resolve)
       59    0.000    0.000    0.000    0.000 C:\Users\Jules\AppData\Roaming\Python\Python38\site-packages\tcod\path.py:897(set_heuristic)
      118    0.000    0.000    0.000    0.000 C:\Users\Jules\AppData\Roaming\Python\Python38\site-packages\numpy\lib\stride_tricks.py:541(<genexpr>)
       16    0.000    0.000    0.000    0.000 C:\Users\Jules\PycharmProjects\Age_of_Aquarius\level_generator.py:335(splitLeaf)
       22    0.000    0.000    0.000    0.000 C:\Program Files\Python38\lib\copyreg.py:99(_slotnames)
      217    0.000    0.000    0.000    0.000 C:\Users\Jules\PycharmProjects\Age_of_Aquarius\level_generator.py:211(<genexpr>)
